id;cliente;sexo;nascimento;endereco;bairro;cidade;estado;email;telefone
32;Celeste Byrd;f;09/09/1999;49 South Golf Ave.;Chikkamagaluru (Chikmagalur);Maybeury;TK;bartlett@yahoo.com;
33;Gretchen Hopkins;f;03/11/1970;8372 Poor House St.;Udupi;Maybeury;AY;rsteiner@gmail.com;(289) 317-8999
34;Jillian Mcgee;f;25/05/1955;54 S. Hall Avenue;Kolar;Maybeury;TK;vsprintf@live.com;
35;Ahmad Hayes;m;07/06/1992;62 Mill Pond Rd.;Tumakuru (Tumkur);New Eucha;AR;dprice@sbcglobal.net;
36;Dayana Weiss;f;02/10/1994;246 Rockcrest Ave.;Raichur;Avis;TK;malvar@yahoo.ca;(793) 345-4884
37;Leonard Mcconnell;m;07/08/1966;4 Fairview Dr.;Bidar;Black Springs;RO;gomor@gmail.com;(933) 615-3991
38;Brady Montoya;m;08/06/1994;8717 Selby Road;Bidar;Lynchburg;RO;bockelboy@optonline.net;(852) 812-2427
39;Estrella Roach;f;24/11/1953;91 North Pineknoll Street;Kodagu;Maybeury;AY;firstpr@msn.com;(501) 349-0083
40;Ronald Holloway;m;21/06/1942;8815 Atlantic Rd.;Ballari (Bellary);Lynchburg;RO;kalpol@optonline.net;
41;Emery Mendez;m;09/01/1996;1 Rosewood Street;Bengaluru (Bangalore) Rural;Maybeury;AY;webteam@att.net;
42;Mariyah Jones;f;12/11/1948;7104 Grandrose Lane;Koppal;Avis;NR;itstatus@live.com;
43;Holly Carrillo;f;20/10/1978;62 Summerhouse Ave.;Koppal;Maybeury;TK;amcuri@aol.com;
44;Harley Navarro;m;01/09/1991;9956 West Penn St.;Chikballapur;Lynchburg;RO;mhassel@yahoo.com;
45;Aidan Palmer;m;25/02/1951;9017 Hill Field Street;Ballari (Bellary);Lynchburg;RO;nichoj@mac.com;(795) 990-2117
46;Angie Zamora;f;19/01/1963;3 Mayfair St.;Chikballapur;Avis;TK;pthomsen@hotmail.com;
47;Melvin Griffin;m;20/07/1985;33 W. Miles St.;Bengaluru (Bangalore) Urban;Black Springs;RO;;
48;Jarrett Forbes;m;05/08/1974;99 Manhattan Lane;Vijayapura (Bijapur);Lynchburg;RO;jbailie@att.net;(593) 779-6727
49;Koen Yang;m;08/05/1976;570 Stonybrook Drive;Chitradurga;New Eucha;AR;aaribaud@yahoo.ca;(409) 555-4041
50;Amirah Davidson;f;16/07/1963;252 Depot Drive;Bengaluru (Bangalore) Urban;Avis;TK;geoffr@mac.com;(674) 275-3038
51;Kevin Lucero;m;24/10/1984;45 Bank Street;Mandya;New Eucha;AR;matthijs@verizon.net;(864) 786-8384
52;Dominick Butler;m;23/06/1982;525 East Arch St.;Mandya;Black Springs;RO;kuparine@outlook.com;
53;Gaige Key;m;17/11/1967;66 Elizabeth Ave.;Bagalkot;Black Springs;RO;thrymm@live.com;
54;Daniella Pope;f;10/11/1986;9571 Heather Street;Kodagu;Maybeury;AY;graham@live.com;(583) 735-3744
55;Ace Bond;m;29/08/1940;167 Brook Drive;Chamarajanagar;Lynchburg;RO;calin@yahoo.ca;
56;Shayna Rowland;f;22/02/1948;95 Westport St.;Bengaluru (Bangalore) Rural;Maybeury;AY;mmccool@comcast.net;(260) 827-4024
57;Myles Salinas;m;17/06/1956;1 NE. Inverness St.;Koppal;Lynchburg;RO;killmenow@mac.com;(390) 904-5097
58;Darion Freeman;m;13/10/1992;8 Miller Ave.;Dakshina Kannada;Lynchburg;RO;adamk@outlook.com;(463) 740-6230
59;Leonardo Michael;m;04/08/1996;9586 Prince Dr.;Kalaburagi (Gulbarga);Lynchburg;RO;moonlapse@outlook.com;(712) 962-0631
60;Melany Cruz;f;10/07/1965;37 E. Marsh St.;Davangere;Avis;TK;saridder@gmail.com;(746) 719-7875
61;Kaiden Griffith;;14/01/1981;975 Trenton Rd.;Yadgir;Lynchburg;RO;godeke@yahoo.ca;(914) 530-9423
62;Luna Branch;f;23/05/1990;433 Wayne Drive;Chikkamagaluru (Chikmagalur);Maybeury;TK;frikazoyd@yahoo.com;
63;Skyler Robertson;m;03/08/1946;739 Maiden Ave.;Udupi;Black Springs;RO;greear@mac.com;(285) 793-4388
64;Lexie Heath;f;06/10/1974;816 Garden Drive;Dakshina Kannada;Lynchburg;NR;seasweb@msn.com;(260) 591-0590
65;Piper Campos;f;04/02/1990;8 Manchester Street;Shivamogga (Shimoga);Maybeury;AY;pedwards@yahoo.ca;(790) 596-1020
66;Blaze Nixon;m;02/10/1982;9457 E. Mayfair Dr.;Tumakuru (Tumkur);Lynchburg;RO;bsikdar@att.net;(567) 208-8965
67;Matias Greer;m;16/02/1984;689 Green Lake Ave.;Raichur;Black Springs;RO;crimsane@yahoo.com;
68;Grant Rosario;m;19/02/1990;490 Sunbeam St.;Chikballapur;New Eucha;AR;frederic@aol.com;
69;Karli Landry;f;30/01/1996;9359 Lake View St.;Mandya;Avis;TK;;(605) 532-2103
70;Elyse Mcgrath;f;28/06/1970;364 Brown Lane;Dakshina Kannada;Avis;TK;daveewart@icloud.com;
71;Hassan Chambers;m;22/04/1977;566 Piper Dr.;Tumakuru (Tumkur);Black Springs;RO;caronni@live.com;
72;Cherish Henderson;f;27/02/1979;693 Selby Court;Belagavi (Belgaum);Avis;NR;frederic@outlook.com;
73;Marcus Pollard;m;29/12/1950;587 Sussex St.;Mysuru (Mysore);New Eucha;AR;froodian@mac.com;(499) 640-8008
74;Tatiana Haley;f;17/01/1985;66 53rd Lane;Kolar;Maybeury;AY;kuparine@msn.com;
75;Lucia Atkins;f;23/11/1991;55 Bedford Ave.;Uttara Kannada (Karwar);Maybeury;TK;kostas@yahoo.ca;
76;Jovany Hendricks;m;15/08/1983;166 East Studebaker Court;Bidar;Lynchburg;RO;gilmoure@live.com;
77;Damian Skinner;m;10/03/1945;231 Sheffield Court;Haveri;Lynchburg;RO;lamprecht@att.net;
78;Liliana Short;f;18/06/1961;73 Center Drive;Bengaluru (Bangalore) Rural;Avis;NR;gamma@outlook.com;
79;Audrina Le;;16/01/1994;12 Park Lane;Belagavi (Belgaum);Avis;TK;lpalmer@aol.com;
80;Miley Garza;f;15/04/1952;4 North Golf Ave.;Udupi;Avis;TK;clkao@comcast.net;(647) 674-5431
81;Kaylah Bullock;f;28/09/1969;8986 Glen Eagles Dr.;Chitradurga;Maybeury;AY;crowl@outlook.com;(507) 871-1754
82;Ricardo Gomez;m;19/10/1966;8445 North Chapel Rd.;Bagalkot;Lynchburg;RO;tmaek@outlook.com;(240) 711-6182
83;Royce Bean;m;23/07/1976;161 High Point Rd.;Ballari (Bellary);Lynchburg;RO;lauronen@hotmail.com;
84;Saniya Fletcher;f;06/05/2000;7053 Blackburn St.;Mysuru (Mysore);Maybeury;AY;bwcarty@outlook.com;
85;Roy Donovan;m;01/02/1964;81 East Third Dr.;Shivamogga (Shimoga);New Eucha;AR;jigsaw@yahoo.com;(556) 433-1045
86;Sandra Randall;f;22/02/1996;495 West Philmont Street;Kodagu;Avis;NR;policies@sbcglobal.net;(219) 819-4612
87;Henry Dickerson;m;18/09/1987;9847 Pennsylvania Circle;Kodagu;Lynchburg;RO;rgarcia@yahoo.ca;(527) 244-3986
88;Aydin Singh;m;01/09/1947;7914 Tower Street;Ramanagara;New Eucha;AR;improv@att.net;(542) 561-0152
89;Josh Figueroa;m;12/06/2001;8049 Parker Drive;Davangere;New Eucha;AR;jadavis@outlook.com;(215) 835-6575
90;Trevin Obrien;m;10/11/1955;7510 Fairway Court;Bagalkot;New Eucha;RO;fallorn@yahoo.com;(743) 235-9276
91;Tessa Rosales;f;23/08/1980;9910A Grandrose St.;Chikballapur;Avis;TK;;(877) 812-8175
92;Britney Sellers;f;18/04/1949;369 Grove Court;Tumakuru (Tumkur);New Eucha;TK;leakin@hotmail.com;(831) 940-8025
93;Donovan Hansen;m;24/07/1958;54 Thompson Drive;Bengaluru (Bangalore) Urban;Black Springs;RO;ralamosm@gmail.com;
94;Dulce English;f;02/11/1948;83 West Primrose Street;Chamarajanagar;Lynchburg;NR;luebke@mac.com;(883) 249-0054
95;Weston Beltran;m;29/01/1983;7497 Morris Drive;Bidar;New Eucha;AR;rmcfarla@gmail.com;(342) 969-0068
96;Theodore Lawson;m;07/06/2002;415 SW. Cactus Ave.;Udupi;New Eucha;AR;noodles@outlook.com;
97;Kierra Fletcher;f;25/06/1943;7963 West Road;Chikballapur;Maybeury;AY;jbuchana@att.net;(964) 519-4016
98;Dominik Schultz;m;31/10/1978;911 North Green Hill Drive;Kodagu;Lynchburg;RO;mcast@aol.com;(642) 900-1206
99;Kamden Giles;m;07/09/1790;7203 Howard Ave.;Gadag;New Eucha;AR;quinn@sbcglobal.net;
100;Rubi Harrington;f;29/07/1955;7056C South Lake Circle;Raichur;Maybeury;AY;budinger@att.net;
101;Quinten Clayton;m;14/02/1963;116 Logan Ave.;Haveri;Lynchburg;RO;iapetus@icloud.com;
102;Randy Mcdonald;m;09/11/1998;8779 Thomas St.;Kodagu;Lynchburg;RO;qrczak@outlook.com;(533) 232-6511
103;Ivan Pittman;m;20/10/1982;703 Depot Drive;Mandya;Black Springs;RO;smallpaul@gmail.com;
104;Cecilia Pierce;f;14/07/1975;34 Brandywine Ave.;Mandya;Avis;TK;rddesign@yahoo.ca;
105;Marshall Holder;m;29/10/1988;696 Green Lane;Bagalkot;Black Springs;RO;wayward@live.com;
106;Deborah Acosta;f;17/06/1943;71 Manor Station Street;Dharwad;Avis;NR;arnold@att.net;
107;London Graham;f;09/01/1987;473 Lower River Court;Bagalkot;Avis;NR;ryanshaw@icloud.com;
108;Azul Waters;f;04/05/1979;16 St Paul Ave.;Kolar;Avis;TK;jdhildeb@gmail.com;
109;Savion Frazier;m;21/04/1952;48 Berkshire Lane;Mysuru (Mysore);New Eucha;AR;kenja@icloud.com;
110;Moriah Ayers;f;05/07/1957;31 Redwood Street;Koppal;Avis;TK;dgatwood@yahoo.ca;
111;Karma Estes;f;03/08/1953;221 Squaw Creek Drive;Ramanagara;New Eucha;TK;eurohack@hotmail.com;(296) 723-8429
112;Avery Shields;f;15/07/1975;158 N. Leatherwood Ave.;Kalaburagi (Gulbarga);Avis;TK;policies@optonline.net;
113;Rashad Heath;m;06/09/1949;148 Washington Dr.;Mysuru (Mysore);Maybeury;AY;gozer@mac.com;(912) 790-2538
114;Connor Morrow;m;02/10/1973;37 Linda Ave.;Dharwad;Black Springs;RO;jrkorson@aol.com;
115;Enrique Avery;m;31/03/1949;79 Beach St.;Kolar;Lynchburg;RO;jsbach@optonline.net;(452) 560-8011
116;Carl Lane;m;22/06/1953;7211 East Prospect Drive;Belagavi (Belgaum);Black Springs;RO;wagnerch@msn.com;
117;Osvaldo Tucker;m;17/11/1962;98 Talbot Road;Davangere;Maybeury;AY;crimsane@optonline.net;(561) 530-4655
118;Maren Sampson;f;17/10/1964;21 Jockey Hollow Ave.;Kodagu;Avis;TK;techie@live.com;
119;Laci Watts;f;23/09/1994;690 S. Center Street;Ballari (Bellary);Avis;NR;dkrishna@msn.com;
120;Jade Goodwin;f;08/11/1966;9 South Thorne St.;Mysuru (Mysore);Avis;NR;seurat@mac.com;(255) 310-6430
121;Nash Ford;m;23/01/1946;18 Linda St.;Kolar;Lynchburg;RO;martyloo@me.com;(796) 388-3933
122;Rhys Bridges;m;26/02/2001;579 East Oak Meadow Court;Kalaburagi (Gulbarga);New Eucha;AR;milton@me.com;(436) 951-0696
123;Colton Mcbride;m;20/11/1992;7294 Pawnee Drive;Hassan;New Eucha;AR;themer@live.com;
124;Jadyn Acevedo;m;28/07/1947;7524 E. Elmwood Drive;Belagavi (Belgaum);New Eucha;RO;simone@yahoo.ca;(898) 303-2816
125;Zoie Chambers;f;25/02/1966;73 West Beaver Ridge Drive;Bidar;Avis;NR;agapow@yahoo.com;
126;Jace French;m;21/07/1970;603 East Railroad Ave.;Ballari (Bellary);Black Springs;RO;plover@aol.com;
127;Ashley Gross;f;17/01/1966;69 Monroe Dr.;Yadgir;Avis;NR;esokullu@comcast.net;
128;Keith Weber;m;02/08/1964;74 North Drive;Bengaluru (Bangalore) Rural;Black Springs;RO;bartak@yahoo.com;(734) 932-0377
129;Amy Moon;f;29/06/1990;7 Lake St.;Belagavi (Belgaum);Maybeury;AY;attwood@icloud.com;
130;Jade Walls;f;25/05/1941;7758 Broad Lane;Kodagu;Maybeury;AY;janusfury@optonline.net;(229) 534-1346
131;Ace Duncan;m;21/11/1994;659 Poplar Rd.;Bengaluru (Bangalore) Urban;New Eucha;AR;webinc@aol.com;
132;Daphne Solomon;f;26/04/1945;98 Lilac Drive;Dakshina Kannada;Avis;TK;froodian@verizon.net;(420) 823-9003
133;Savion Savage;m;03/12/1994;9931 John St.;Haveri;Maybeury;AY;sinclair@optonline.net;(439) 925-9000
134;Everett Bishop;m;12/12/1962;203 Meadowbrook Rd.;Raichur;Lynchburg;RO;denton@hotmail.com;
135;Gia Murray;f;17/06/1992;4 Laurel Rd.;Ramanagara;Avis;TK;marioph@hotmail.com;(585) 364-6225
136;Elijah Murillo;m;06/04/1987;7567 Spring Ave.;Mysuru (Mysore);New Eucha;AR;attwood@sbcglobal.net;(535) 670-5554
137;Lizbeth Flowers;f;26/02/1959;606 Columbia Ave.;Bengaluru (Bangalore) Rural;Maybeury;TK;noticias@me.com;
138;Sharon Winters;f;03/01/2001;7722 North Talbot St.;Bengaluru (Bangalore) Urban;Avis;NR;miami@att.net;(590) 494-1515
139;Elle Guzman;f;27/10/1973;7545 West Princess Dr.;Dakshina Kannada;Maybeury;AY;uqmcolyv@sbcglobal.net;(512) 219-5597
140;Catherine Henderson;f;01/06/1982;8 SW. Hillcrest Drive;Yadgir;Maybeury;AY;rasca@gmail.com;(759) 815-7578
141;Reynaldo Marquez;m;12/12/1974;7768 Lees Creek Dr.;Tumakuru (Tumkur);Lynchburg;RO;attwood@aol.com;(601) 898-0493
142;Elsa Kent;f;09/08/1978;80 Lantern Dr.;Belagavi (Belgaum);Maybeury;AY;thurston@msn.com;(211) 768-6018
143;Jorge Strickland;m;03/04/1981;371 Franklin Drive;Chikballapur;New Eucha;RO;ewaters@verizon.net;
144;Johan Pena;m;07/12/1977;5 Circle Lane;Kolar;New Eucha;AR;jbearp@yahoo.ca;(998) 812-7034
145;Quentin Gray;m;03/12/1953;633 Lafayette St.;Belagavi (Belgaum);Black Springs;RO;cfhsoft@icloud.com;
146;Elisabeth Conway;f;24/12/1943;9296 North Myrtle Court;Belagavi (Belgaum);Maybeury;AY;dgatwood@live.com;(819) 758-7912
147;Janessa Andrade;f;27/11/1963;12 Park Street;Uttara Kannada (Karwar);Avis;TK;empathy@comcast.net;
148;Armando Mahoney;;14/05/1949;62 Valley View St.;Mandya;Black Springs;RO;vmalik@outlook.com;
149;Rafael Cervantes;m;21/01/1972;43 West Third Dr.;Bidar;New Eucha;AR;tkrotchko@sbcglobal.net;
150;Mayra Andersen;f;02/03/1961;1 Vermont St.;Davangere;Avis;TK;kaiser@comcast.net;
151;Bryson Walker;m;17/07/1978;795 South Oakwood Ave.;Yadgir;Lynchburg;RO;sfoskett@live.com;(360) 654-2579
152;Brian Gordon;m;24/07/1950;295 Bowman Ave.;Kolar;Black Springs;RO;haddawy@me.com;
153;Dwayne Hansen;m;31/08/1951;691 Pawnee Court;Chikkamagaluru (Chikmagalur);New Eucha;AR;majordick@live.com;
154;Richard Atkins;m;16/10/1949;7695 South Orange Street;Chamarajanagar;New Eucha;RO;gemmell@icloud.com;(914) 872-1713
155;Kaylyn Houston;f;26/12/1976;9030 Proctor Court;Uttara Kannada (Karwar);Maybeury;AY;engelen@optonline.net;(326) 400-3711
156;Kennedy Flynn;f;21/01/1964;494 Cypress St.;Davangere;Maybeury;TK;netsfr@gmail.com;(971) 201-2961
157;Amelia Santana;f;05/06/1998;835 Grandrose Road;Davangere;Lynchburg;NR;;(764) 369-6163
158;Gregory Farley;m;02/05/1983;357 Beaver Ridge St.;Yadgir;Black Springs;RO;benits@msn.com;
159;Kaelyn Colon;f;27/06/2000;8691 Holly Street;Bengaluru (Bangalore) Rural;Avis;NR;bbirth@att.net;(985) 920-1475
160;Celeste Colon;f;13/11/1948;689 Leeton Ridge Rd.;Hassan;Maybeury;AY;leocharre@aol.com;
161;Kymani Gonzales;m;06/08/1977;58 Indian Summer Drive;Koppal;New Eucha;AR;simone@gmail.com;(266) 281-0853
162;Braylon Summers;m;20/04/1981;17 Oakwood Street;Dakshina Kannada;Lynchburg;RO;vmalik@verizon.net;
163;Taylor Knox;f;22/03/1986;840 William Ave.;Chikballapur;Maybeury;AY;mcsporran@verizon.net;(762) 904-7502
164;Jadiel Chaney;m;03/08/1991;233 Mayfield Drive;Udupi;Black Springs;AY;srour@outlook.com;(641) 805-4958
165;August Shannon;m;24/01/1949;9281 Manor St.;Vijayapura (Bijapur);Lynchburg;RO;ajlitt@comcast.net;(417) 489-1441
166;Braydon Montoya;m;29/11/1975;13 West Mulberry Street;Bagalkot;Lynchburg;RO;crowl@yahoo.com;
167;Guillermo Hood;m;22/01/1976;80 Fairway Ave.;Kolar;Lynchburg;RO;mwitte@att.net;(239) 356-5244
168;Octavio Macdonald;m;02/08/1981;8713 Newport St.;Bengaluru (Bangalore) Rural;Lynchburg;RO;chaffar@optonline.net;(272) 907-6730
169;Eduardo Marsh;m;07/11/1942;8 Heritage Drive;Kolar;New Eucha;AR;mrsam@aol.com;(916) 297-1345
170;Riley Brown;m;15/01/1973;64 Park Street;Haveri;New Eucha;AR;houle@verizon.net;
171;Kason Oliver;m;04/11/1946;14 North Sherwood St.;Hassan;Maybeury;AY;cmdrgravy@mac.com;(307) 799-6451
172;Abdiel Cervantes;m;07/01/1951;8048 Nicolls Lane;Dakshina Kannada;New Eucha;AR;tlinden@msn.com;(292) 441-7700
173;Stacy Chen;f;16/06/1942;134 South Central St.;Kodagu;Avis;TK;dobey@gmail.com;(464) 663-6861
174;Maxwell Bright;m;21/01/1980;562 Edgewood Ave.;Vijayapura (Bijapur);New Eucha;AR;melnik@att.net;
175;Gauge Dennis;;09/08/1875;684 Old Tallwood St.;Mandya;Black Springs;RO;pkilab@hotmail.com;
176;Jaxon Crosby;m;23/09/1960;78 S. Roehampton St.;Vijayapura (Bijapur);New Eucha;AR;quinn@live.com;(835) 666-4222
177;Serena Whitaker;f;10/03/1967;2 West Rockville Street;Bengaluru (Bangalore) Rural;New Eucha;TK;esasaki@yahoo.ca;
178;Gauge Conrad;m;13/08/1969;407 N. Morris Drive;Uttara Kannada (Karwar);Black Springs;RO;cosimo@att.net;(415) 479-6786
179;Alexandria Newton;f;25/05/2000;8530 El Dorado St.;Udupi;Avis;NR;;(408) 761-9112
180;Josue Kirk;m;01/11/1949;8181 N. Blue Spring Lane;Yadgir;Lynchburg;RO;bogjobber@aol.com;(782) 647-9491
181;Maximo Richards;m;07/04/1991;7829 Van Dyke Dr.;Bengaluru (Bangalore) Rural;New Eucha;AR;tskirvin@yahoo.ca;(608) 691-8908
182;Rocco Schroeder;m;09/06/1972;8952 Fairway Ave.;Bidar;Lynchburg;RO;wojciech@aol.com;(295) 743-8379
183;Skyla Simon;f;19/04/1968;231 Smith Dr.;Yadgir;New Eucha;TK;openldap@yahoo.ca;
184;Kenley Gilbert;f;21/02/1954;9282 E. Arnold Drive;Yadgir;Maybeury;AY;cderoove@outlook.com;(430) 923-2650
185;Nikolai Schneider;m;24/08/1994;769 Pin Oak Court;Bengaluru (Bangalore) Urban;New Eucha;RO;scitext@yahoo.com;(585) 995-4392
186;Paityn Lara;f;01/12/1971;4 Franklin St.;Raichur;Avis;TK;wiseb@yahoo.ca;(668) 892-1614
187;Rylee Castro;m;26/11/1941;55 Hill Field Rd.;Kolar;New Eucha;AR;tamas@sbcglobal.net;
188;Lorelai Mckenzie;f;04/09/1999;8336 Bellevue St.;Mysuru (Mysore);Maybeury;AY;temmink@gmail.com;(299) 878-6737
189;Audrina Mercado;f;16/09/2000;574 Rockville Ave.;Uttara Kannada (Karwar);Maybeury;TK;kwilliams@mac.com;
190;Amir Mccoy;m;17/07/1955;9351 Peachtree Dr.;Raichur;Lynchburg;RO;nighthawk@optonline.net;(882) 562-8919
191;Sydnee Roman;f;01/07/1945;741 E. Birchpond Ave.;Bengaluru (Bangalore) Rural;Maybeury;AY;cameron@yahoo.ca;(629) 803-8916
192;Ariel Eaton;m;14/10/1989;8940 Yukon St.;Ballari (Bellary);Lynchburg;RO;monopole@optonline.net;
193;Ryann Payne;f;22/07/1954;8042 Middle River St.;Kodagu;Maybeury;AY;ntegrity@icloud.com;(340) 670-4312
194;Mireya Johnston;f;01/06/1953;7674 Sussex Road;Mysuru (Mysore);Avis;NR;sfoskett@live.com;(995) 254-9169
195;Kathryn Cruz;f;17/03/1965;8024 Cooper Ave.;Gadag;Maybeury;AY;kspiteri@outlook.com;(940) 437-4545
196;Darion Banks;m;27/12/1983;46 Golden Star St.;Kodagu;Black Springs;RO;melnik@aol.com;
197;Mareli Vincent;f;26/02/1989;856 Henry Smith Drive;Kalaburagi (Gulbarga);Maybeury;AY;munson@msn.com;(595) 291-9498
198;Jorden Gaines;;01/06/2001;218 East Railroad St.;Bengaluru (Bangalore) Rural;Lynchburg;RO;fraser@sbcglobal.net;
199;Pranav Schmidt;m;05/05/1992;7369 Smoky Hollow Lane;Kolar;Black Springs;RO;kohlis@aol.com;
200;Kailee Mueller;f;14/05/1974;588 South Shub Farm St.;Bengaluru (Bangalore) Urban;Maybeury;TK;jonadab@msn.com;
201;Maryjane Mitchell;f;28/08/1993;8152 N. Del Monte Lane;Bengaluru (Bangalore) Urban;Maybeury;AY;;(450) 612-8486
202;Kaley Shah;f;23/04/1993;430 Cobblestone Ave.;Koppal;Maybeury;TK;josephw@icloud.com;
203;Shiloh Huber;f;11/06/1967;837 Valley Farms St.;Kalaburagi (Gulbarga);Lynchburg;NR;citizenl@comcast.net;(487) 306-0207
204;Kaitlin Taylor;f;19/09/1963;7876 Cherry Hill Ave.;Yadgir;Lynchburg;NR;sassen@yahoo.ca;(462) 956-1915
205;Edwin Romero;;24/07/1992;3 N. Washington Dr.;Vijayapura (Bijapur);Black Springs;RO;amaranth@msn.com;
206;Belinda Grant;f;04/08/1997;7810 E. Princeton Lane;Kodagu;Avis;NR;openldap@icloud.com;(458) 933-3445
207;Natalia Larsen;f;19/04/1959;7104 Paris Hill Street;Mandya;Avis;NR;frederic@comcast.net;
208;Chana Bennett;f;07/04/1962;570 Longbranch Rd.;Chikkamagaluru (Chikmagalur);Avis;NR;quinn@msn.com;(968) 422-0437
209;Cody Castillo;m;31/03/1978;784 Mayfield Ave.;Chamarajanagar;New Eucha;AR;sfoskett@comcast.net;(674) 455-4700
210;Steve Crosby;m;21/02/1985;997 Pacific St.;Dakshina Kannada;Lynchburg;RO;draper@verizon.net;(971) 603-1050
211;Lindsay Robbins;f;01/11/1978;800 South St.;Chikkamagaluru (Chikmagalur);Maybeury;AY;jelmer@yahoo.com;(789) 687-5524
212;Leo Fleming;m;02/06/1952;13 Shadow Brook Street;Yadgir;Lynchburg;RO;tkrotchko@optonline.net;
213;Sage Little;f;03/01/1994;64 Thomas St.;Ballari (Bellary);Maybeury;;harpes@yahoo.ca;
214;Jamarion Keller;m;10/03/1997;79 Jackson Street;Koppal;New Eucha;AR;amcuri@sbcglobal.net;(714) 221-2885
215;Dakota Houston;m;26/06/1972;7010 Willow St.;Kolar;Black Springs;RO;carcus@hotmail.com;
216;Maeve Watts;f;15/03/1955;87 South San Juan Dr.;Chitradurga;Avis;NR;panolex@mac.com;(717) 967-4867
217;Kiley Hess;f;16/03/1943;3 Plumb Branch St.;Dakshina Kannada;New Eucha;TK;kourai@me.com;
218;Isabela Moon;f;22/01/1942;904 Arnold Court;Vijayapura (Bijapur);Maybeury;AY;jfmulder@outlook.com;(701) 777-5487
